EmotionCategory,Probability,FrameID
Disgust,4.525717e-06,frame00169
Empathic Pain,0.0009345214,frame00169
Entrancement,1.328624e-05,frame00169
Excitement,0.0002766104,frame00169
Fear,0.0005979855,frame00169
Horror,0.7592626,frame00169
Interest,0.002017773,frame00169
Joy,0.0002936457,frame00169
Romance,1.519704e-05,frame00169
Sadness,0.002550755,frame00169
Sexual Desire,1.761972e-06,frame00169
Surprise,1.015788e-05,frame00169
Adoration,0.0009016173,frame00177
Aesthetic Appreciation,0.001181369,frame00177
Amusement,0.0001477807,frame00177
Anxiety,0.6790957,frame00177
Awe,0.1913773,frame00177
Boredom,0.01371395,frame00177
Confusion,0.001963524,frame00177
Craving,1.915083e-05,frame00177
Disgust,1.906846e-06,frame00177
Empathic Pain,0.002419162,frame00177
Entrancement,7.152351e-05,frame00177
Excitement,0.0001842342,frame00177
Fear,0.001630408,frame00177
Horror,0.1020285,frame00177
Interest,0.004109045,frame00177
Joy,0.0002538048,frame00177
Romance,2.342585e-05,frame00177
Sadness,0.0008566311,frame00177
Sexual Desire,3.180891e-07,frame00177
Surprise,2.045095e-05,frame00177
Adoration,0.0007963267,frame00185
Aesthetic Appreciation,0.006672035,frame00185
Amusement,0.003259041,frame00185
Anxiety,0.005411031,frame00185
Awe,0.1945488,frame00185
Boredom,0.1492804,frame00185
Confusion,0.003914842,frame00185
Craving,4.018971e-05,frame00185
Disgust,5.019606e-06,frame00185
Empathic Pain,0.0005766245,frame00185
Entrancement,0.0008969901,frame00185
Excitement,0.001426014,frame00185
Fear,0.0002903601,frame00185
Horror,0.3055683,frame00185
Interest,0.3265058,frame00185
Joy,0.0001606807,frame00185
Romance,1.631036e-05,frame00185
Sadness,0.0004209791,frame00185
Sexual Desire,9.34607e-07,frame00185
Surprise,0.000209136,frame00185
Adoration,4.201269e-05,frame00193
Aesthetic Appreciation,0.006750465,frame00193
Amusement,0.0002269725,frame00193
Anxiety,0.006903552,frame00193
Awe,0.9712436,frame00193
Boredom,0.0001802978,frame00193
Confusion,1.111295e-05,frame00193
Craving,3.197983e-05,frame00193
Disgust,1.659754e-06,frame00193
Empathic Pain,6.786719e-05,frame00193
Entrancement,9.806401e-05,frame00193
Excitement,0.0002507603,frame00193
Fear,0.0006102827,frame00193
Horror,0.005249829,frame00193
Interest,0.008253897,frame00193
Joy,5.203982e-06,frame00193
Romance,2.610809e-08,frame00193
Sadness,6.582137e-05,frame00193
Sexual Desire,5.922821e-08,frame00193
Surprise,6.428463e-06,frame00193
Adoration,0.002479685,frame00201
