"","PID","Condition","CertRate","CertRateVar","Video","SecondEnd"
"X2081","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",433
"X2091","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",435
"X2101","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",437
"X2111","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",439
"X2121","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",441
"X2131","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",443
"X2141","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",445
"X2151","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",447
"X2161","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",449
"X2171","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",451
"X2181","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",453
"X2191","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",455
"X2201","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",457
"X2211","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",459
"X2221","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",461
"X2231","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",463
"X2241","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",465
"X2251","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",467
"X2261","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",469
"X2271","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",471
"X2281","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",473
"X2291","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",475
"X2301","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",477
"X2311","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",479
"X2321","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",481
"X2331","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",483
"X2341","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",485
"X2351","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",487
"X2361","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",489
"X2371","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",491
"X2381","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",493
"X2391","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",495
"X2401","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",497
"X2411","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",499
"X2421","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",501
"X2431","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",503
"X2441","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",505
"X2451","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",507
"X2461","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",509
"X2471","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",511
"X2481","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",513
"X2491","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",515
"X2501","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",517
"X2511","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",519
"X2521","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",521
"X2531","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",523
"X2541","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",525
"X2551","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",527
"X2561","SR-0208","A",-25.9583333333333,10.2083333333333,"StimVidTestFirstHalf_comp.mp4",529
"X2571","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",531
"X2581","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",533
"X2591","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",535
"X2601","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",537
"X2611","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",539
"X2621","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",541
"X2631","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",543
"X2641","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",545
"X2651","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",547
"X2661","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",549
"X2671","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",551
"X2681","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",553
"X2691","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",555
"X2701","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",557
"X2711","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",559
"X2721","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",561
"X2731","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",563
"X2741","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",565
"X2751","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",567
"X2761","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",569
"X2771","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",571
"X2781","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",573
"X2791","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",575
"X2801","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",577
"X2811","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",579
"X2821","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",581
"X2831","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",583
"X2841","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",585
"X2851","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",587
"X2861","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",589
"X2871","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",591
"X2881","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",593
"X2891","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",595
"X2901","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",597
"X2911","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",599
"X2921","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",601
"X2931","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",603
"X2941","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",605
"X2951","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",607
"X2961","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",609
"X2971","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",611
"X2981","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",613
"X2991","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",615
"X3001","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",617
"X3011","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",619
"X3021","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",621
"X3031","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",623
"X3041","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",625
"X3051","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",627
"X3061","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",629
"X3071","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",631
"X3081","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",633
"X3091","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",635
"X3101","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",637
"X3111","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",639
"X3121","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",641
"X3131","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",643
"X3141","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",645
"X3151","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",647
"X3161","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",649
"X3171","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",651
"X3181","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",653
"X3191","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",655
"X3201","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",657
"X3211","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",659
"X3221","SR-0208","A",-26.7083333333333,15.3343837535014,"StimVidTestFirstHalf_comp.mp4",661
"X3231","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",663
"X3241","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",665
"X3251","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",667
"X3261","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",669
"X3271","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",671
"X3281","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",673
"X3291","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",675
"X3301","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",677
"X3311","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",679
"X3321","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",681
"X3331","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",683
"X3341","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",685
"X3351","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",687
"X3361","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",689
"X3371","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",691
