,PID,Condition,CertRate,CertRateVar,Video,SecondEnd
X172,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,361
X173,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,363
X174,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,365
X175,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,367
X176,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,369
X177,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,371
X178,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,373
X179,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,375
X180,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,377
X181,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,379
X182,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,381
X183,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,383
X184,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,385
X185,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,387
X186,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,389
X187,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,391
X188,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,393
X189,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,395
X190,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,397
X191,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,399
X192,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,401
X193,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,403
X194,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,405
X195,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,407
X196,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,409
X197,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,411
X198,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,413
X199,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,415
X200,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,417
X201,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,419
X202,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,421
X203,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,423
X204,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,425
X205,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,427
X206,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,429
X207,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,431
X208,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,433
X209,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,435
X210,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,437
X211,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,439
X212,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,441
X213,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,443
X214,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,445
X215,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,447
X216,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,449
X217,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,451
X218,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,453
X219,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,455
X220,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,457
X221,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,459
X222,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,461
X223,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,463
X224,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,465
X225,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,467
X226,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,469
X227,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,471
X228,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,473
X229,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,475
X230,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,477
X231,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,479
X232,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,481
X233,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,483
X234,SR-0035,B,-0.541666667,2.43522409,StimVidTestLastHalf_comp.mp4,485
X235,SR-0035,B,-5,0,StimVidTestLastHalf_comp.mp4,487
X236,SR-0035,B,-5,0,StimVidTestLastHalf_comp.mp4,489
X237,SR-0035,B,-7.75,6.239495798,StimVidTestLastHalf_comp.mp4,491
X238,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,493
X239,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,495
X240,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,497
X241,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,499
X242,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,501
X243,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,503
X244,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,505
X245,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,507
X246,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,509
X247,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,511
X248,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,513
X249,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,515
X250,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,517
X251,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,519
X252,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,521
X253,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,523
X254,SR-0035,B,-10.71428571,3.08716707,StimVidTestLastHalf_comp.mp4,525
X255,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,527
X256,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,529
X257,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,531
X258,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,533
X259,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,535
X260,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,537
X261,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,539
X262,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,541
X263,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,543
X264,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,545
X265,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,547
X266,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,549
X267,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,551
X268,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,553
X269,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,555
X270,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,557
X271,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,559
X272,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,561
X273,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,563
X274,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,565
X275,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,567
X276,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,569
X277,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,571
X278,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,573
X279,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,575
X280,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,577
X281,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,579
X282,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,581
X283,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,583
X284,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,585
X285,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,587
X286,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,589
X287,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,591
X288,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,593
X289,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,595
X290,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,597
X291,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,599
X292,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,601
X293,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,603
X294,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,605
X295,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,607
X296,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,609
X297,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,611
X298,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,613
X299,SR-0035,B,-15,0,StimVidTestLastHalf_comp.mp4,615
X300,SR-0035,B,-12.64705882,6.28115653,StimVidTestLastHalf_comp.mp4,617
X301,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,619
X302,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,621
X303,SR-0035,B,-10,0,StimVidTestLastHalf_comp.mp4,623
X304,SR-0035,B,-7.833333333,6.19047619,StimVidTestLastHalf_comp.mp4,625
X305,SR-0035,B,-5,0,StimVidTestLastHalf_comp.mp4,627
X306,SR-0035,B,-5,0,StimVidTestLastHalf_comp.mp4,629
X307,SR-0035,B,-5,0,StimVidTestLastHalf_comp.mp4,631
X308,SR-0035,B,-0.924369748,3.799316337,StimVidTestLastHalf_comp.mp4,633
X309,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,635
X310,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,637
X311,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,639
X312,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,641
X313,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,643
X314,SR-0035,B,3.109243697,5.928642643,StimVidTestLastHalf_comp.mp4,645
X315,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,647
X316,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,649
X317,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,651
X318,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,653
X319,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,655
X320,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,657
X321,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,659
X322,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,661
X323,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,663
X324,SR-0035,B,9.708333333,1.384803922,StimVidTestLastHalf_comp.mp4,665
X325,SR-0035,B,10,0,StimVidTestLastHalf_comp.mp4,667
X326,SR-0035,B,10,0,StimVidTestLastHalf_comp.mp4,669
X327,SR-0035,B,10,0,StimVidTestLastHalf_comp.mp4,671
X328,SR-0035,B,10,0,StimVidTestLastHalf_comp.mp4,673
X329,SR-0035,B,10,0,StimVidTestLastHalf_comp.mp4,675
X330,SR-0035,B,10,0,StimVidTestLastHalf_comp.mp4,677
X331,SR-0035,B,10,0,StimVidTestLastHalf_comp.mp4,679
X332,SR-0035,B,10,0,StimVidTestLastHalf_comp.mp4,681
X333,SR-0035,B,10,0,StimVidTestLastHalf_comp.mp4,683
X334,SR-0035,B,10,0,StimVidTestLastHalf_comp.mp4,685
X335,SR-0035,B,10,0,StimVidTestLastHalf_comp.mp4,687
X336,SR-0035,B,10,0,StimVidTestLastHalf_comp.mp4,689
X337,SR-0035,B,10,0,StimVidTestLastHalf_comp.mp4,691
X338,SR-0035,B,10,0,StimVidTestLastHalf_comp.mp4,693
X339,SR-0035,B,8.708333333,4.830182073,StimVidTestLastHalf_comp.mp4,695
X340,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,697
X341,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,699
X342,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,701
X343,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,703
X344,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,705
X345,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,707
X346,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,709
X347,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,711
X348,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,713
X349,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,715
X350,SR-0035,B,5,0,StimVidTestLastHalf_comp.mp4,717
X351,SR-0035,B,4.416666667,2.598039216,StimVidTestLastHalf_comp.mp4,719
X352,SR-0035,B,-0.630252101,2.777382139,StimVidTestLastHalf_comp.mp4,721
X353,SR-0035,B,-16.70833333,11.13270308,StimVidTestLastHalf_comp.mp4,723
X354,SR-0035,B,-22.68907563,6.266913545,StimVidTestLastHalf_comp.mp4,725
X355,SR-0035,B,-25,0,StimVidTestLastHalf_comp.mp4,727
X356,SR-0035,B,-25,0,StimVidTestLastHalf_comp.mp4,729
X357,SR-0035,B,-25,0,StimVidTestLastHalf_comp.mp4,731
X358,SR-0035,B,-25,0,StimVidTestLastHalf_comp.mp4,733
X359,SR-0035,B,-25,0,StimVidTestLastHalf_comp.mp4,735
X360,SR-0035,B,-25,0,StimVidTestLastHalf_comp.mp4,737
X361,SR-0035,B,-25,0,StimVidTestLastHalf_comp.mp4,739
X362,SR-0035,B,-25,0,StimVidTestLastHalf_comp.mp4,741
X363,SR-0035,B,-25,0,StimVidTestLastHalf_comp.mp4,743
X364,SR-0035,B,-25,0,StimVidTestLastHalf_comp.mp4,745
X365,SR-0035,B,-25,0,StimVidTestLastHalf_comp.mp4,747
X366,SR-0035,B,-25,0,StimVidTestLastHalf_comp.mp4,749
X367,SR-0035,B,-25,0,StimVidTestLastHalf_comp.mp4,751
X368,SR-0035,B,-26.79166667,5.796568627,StimVidTestLastHalf_comp.mp4,753
X369,SR-0035,B,-30.67226891,2.934054978,StimVidTestLastHalf_comp.mp4,755
X370,SR-0035,B,-35,0,StimVidTestLastHalf_comp.mp4,757
X371,SR-0035,B,-35,0,StimVidTestLastHalf_comp.mp4,759
X372,SR-0035,B,-35.21008403,1.014812705,StimVidTestLastHalf_comp.mp4,761
X373,SR-0035,B,-40,0,StimVidTestLastHalf_comp.mp4,763
X374,SR-0035,B,-40,0,StimVidTestLastHalf_comp.mp4,765
X375,SR-0035,B,-40,0,StimVidTestLastHalf_comp.mp4,767
X376,SR-0035,B,-40,0,StimVidTestLastHalf_comp.mp4,769
X377,SR-0035,B,-40,0,StimVidTestLastHalf_comp.mp4,771
X378,SR-0035,B,-40,0,StimVidTestLastHalf_comp.mp4,773
X379,SR-0035,B,-40,0,StimVidTestLastHalf_comp.mp4,775
